IP,Ping (ms),Upload (Mbps),Download (Mbps)
129.80.221.237,16,53.43,56.81
150.136.102.152,16,54.55,54.49
150.136.160.138,16,53.41,60.43
193.122.194.62,16,41.88,64.13
129.158.55.127,18,156.65,117.13
150.136.102.41,18,380.14,128.35
129.213.150.222,19,210.87,121.96
143.47.96.200,19,55.41,60.13
150.136.254.79,19,190.27,130.39
129.159.119.161,20,47.69,60.15
150.136.76.13,20,53.49,57.47
193.122.154.82,20,134.66,119.51
150.136.6.109,21,52.47,72.38
129.213.148.107,22,121.14,113.20
150.136.219.11,22,157.94,107.16
132.145.165.127,23,227.14,108.42
150.136.58.0,23,54.39,65.65
129.80.255.149,24,52.03,58.07
150.136.117.165,25,209.46,119.72
150.136.139.228,34,47.98,69.16
140.238.62.127,489,29.87,26.16
141.147.176.154,489,32.00,26.72
161.33.181.105,489,37.34,27.43
150.230.212.247,490,21.63,27.70
168.138.199.240,490,30.42,26.87
140.238.49.222,491,24.94,27.58
140.245.89.136,491,38.61,27.64
141.147.185.181,491,26.43,24.62
161.33.212.104,491,31.41,26.20
168.110.52.52,491,28.58,26.85
141.147.162.33,493,27.31,26.97
150.230.206.253,493,31.87,24.22
141.147.176.31,494,30.60,25.81
158.179.179.248,494,24.34,26.68
161.33.222.44,494,21.66,26.28
150.230.210.96,495,28.49,24.94
132.226.5.25,496,23.44,27.95
64.181.188.99,359,36.06,25.90
159.112.139.229,366,34.79,33.48
152.67.41.217,411,21.20,30.47
157.137.229.226,767,29.67,29.05
132.145.9.120,254,48.64,47.79
141.253.119.147,254,30.85,49.06
132.145.29.208,255,63.36,48.57
132.145.73.22,255,61.39,46.65
134.98.143.133,255,41.19,41.33
145.241.169.223,255,23.55,48.95
84.235.160.223,255,47.82,40.37
84.8.145.58,255,42.37,44.81
134.98.146.122,256,41.19,36.58
141.144.197.66,256,67.63,50.93
145.241.213.2,256,39.06,48.21
152.70.53.186,256,44.20,37.08
158.101.214.54,256,47.87,42.63
158.178.152.241,256,41.54,48.39
79.72.91.32,256,42.81,43.38
132.145.30.32,257,37.88,48.79
192.9.175.224,621,25.22,21.08
161.33.237.158,628,23.03,20.36
158.180.5.171,632,23.92,22.39
158.178.141.162,642,25.93,22.26
168.138.8.162,670,24.48,21.39
207.211.157.214,679,25.29,21.26
84.8.137.143,693,22.82,20.24
84.8.142.203,702,22.40,21.03
